file_name,label,findings,safe_secret_refs_detected
argo-cd__resource_customizations_flink.apache.org_FlinkDeployment_testdata_healthy_running_v0.1.x.yaml,secure,,
argo-cd__test_e2e_testdata_helm-api-versions_templates_config-map.yaml,secure,,
argo-cd__manifests_base_notification_argocd-notifications-controller-role.yaml,secure,,
argo-cd__manifests_cluster-rbac_application-controller_argocd-application-controller-clusterrole.yaml,secure,,
argo-cd__test_e2e_testdata_guestbook-with-plain-namespace-manifest_guestbook-ui-svc.yaml,secure,,
argo-cd__resource_customizations_grafana.integreatly.org_GrafanaDashboard_testdata_degraded.yaml,secure,,
argo-cd__resource_customizations_core.humio.com_HumioAction_testdata_configerror.yaml,secure,,safe_secret_key_ref
examples___archived_volumes_portworx_portworx-volume-pv.yaml,secure,,
argo-cd__test_e2e_testdata_crashing-guestbook_kustomization.yaml,secure,,
prometheus-operator__example_user-guides_alerting_alertmanager-selector-example.yaml,secure,,
argo-cd__resource_customizations_flink.apache.org_FlinkDeployment_testdata_progressing_deployedNotReady.yaml,secure,,
cloud-on-k8s__deploy_eck-operator_charts_eck-operator-crds_templates_all-crds.yaml,hardcoded_secret,hardcoded_api_key;long_base64_like_value,safe_secret_name
argo-cd__resource_customizations_game.kruise.io_GameServerSet_testdata_suspended-partition.yaml,secure,,
cloud-on-k8s__hack_upgrade-test-harness_testdata_v191_stack.yaml,secure,,
argo-cd__applicationset_examples_design-doc_git-files-discovery-fasttemplate.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring-v1_docs_examples_logs-journal_output.yaml,privilege_exposure,host_path;hardcoded_password;long_base64_like_value,safe_secret_key_ref;safe_value_from
argo-cd__resource_customizations_flagger.app_Canary_testdata_degraded.yaml,secure,,
examples___archived_podsecuritypolicy_rbac_pod_priv.yaml,privilege_exposure,privileged_true,
argo-cd__test_e2e_testdata_deprecated-extensions_deployment.yaml,secure,,
argo-cd__resource_customizations_argoproj.io_Experiment_testdata_failedExperiment.yaml,secure,,
argo-cd__test_e2e_testdata_guestbook-with-namespace_guestbook-ui-deployment-ns.yaml,secure,,
argo-cd__resource_customizations_promoter.argoproj.io_PullRequest_testdata_non-reconciliation-error.yaml,secure,,
cloud-on-k8s__hack_upgrade-test-harness_testdata_v320_crds.yaml,hardcoded_secret,hardcoded_api_key;long_base64_like_value,safe_secret_name
argo-cd__resource_customizations_addons.cluster.x-k8s.io_ClusterResourceSet_testdata_progressing_resourceapplied.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_rbac-no-cluster-roles_output.yaml,privilege_exposure,host_network_true;host_pid_true;host_path;hardcoded_password;long_base64_like_value,
kube-linter__tests_checks_mismatching-selector.yml,secure,,
cloud-on-k8s__config_samples_autoops_autoops.yaml,hardcoded_secret,hardcoded_token;hardcoded_api_key,safe_secret_name
cloud-on-k8s__hack_upgrade-test-harness_testdata_v230_stack.yaml,secure,,
argo-cd__examples_k8s-rbac_argocd-server-applications_argocd-notifications-controller-rbac-clusterrole.yaml,secure,,
prometheus-operator__example_user-guides_alerting_alertmanager-example-alertmanager-configuration.yaml,secure,,
argo-cd__resource_customizations_gateway.networking.k8s.io_GRPCRoute_testdata_degraded_accepted.yaml,secure,,
argo-cd__gitops-engine_pkg_diff_testdata_ssd-configmap-config.yaml,secure,,
argo-cd__test_e2e_testdata_hook-custom-health_kustomization.yaml,secure,,
examples__AI_vllm-deployment_vllm-service.yaml,secure,,
argo-cd__resource_customizations_rabbitmq.com_Exchange_testdata_degraded.yaml,secure,,
examples___archived_volumes_scaleio_pod.yaml,secure,,safe_secret_ref
argo-cd__resource_customizations_apiextensions.k8s.io_CustomResourceDefinition_testdata_crd-v1-names-not-accepted-degraded.yaml,secure,,
argo-cd__test_e2e_testdata_managed-by-url-test_kustomization.yaml,secure,,
prometheus-operator__example_shards_example-app-deployment.yaml,secure,,
argo-cd__applicationset_examples_merge_merge-two-matrixes.yaml,secure,,
argo-cd__resource_customizations_solr.apache.org_SolrCloud_testdata_provisioning.yaml,secure,,
argo-cd__gitops-engine_pkg_utils_kube_testdata_v1HPA.yaml,secure,,
examples__web_guestbook-go_guestbook-controller.yaml,secure,,
argo-cd__test_e2e_testdata_guestbook_guestbook-ui-deployment.yaml,secure,,
argo-cd__resource_customizations_promoter.argoproj.io_PullRequest_testdata_no-ready-condition.yaml,secure,,
argo-cd__gitops-engine_pkg_health_testdata_deployment-suspended.yaml,hardcoded_secret,long_base64_like_value,
argo-cd__resource_customizations_batch_Job_actions_testdata_suspended-output.yaml,secure,,
argo-cd__resource_customizations_karpenter.sh_NodeClaim_testdata_degraded.yaml,secure,,
examples___archived_https-nginx_nginx-app.yaml,secure,,safe_secret_name
argo-cd__gitops-engine_pkg_health_testdata_pod-succeeded.yaml,hardcoded_secret,long_base64_like_value,safe_secret_name
argo-cd__resource_customizations_grafana.integreatly.org_Grafana_testdata_progressing.yaml,secure,,safe_secret_name
argo-cd__reposerver_repository_testdata_app-parameters_single-app-only_guestbook.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_platform_gpu_test-plan.yaml,secure,,safe_value_from;safe_env_from;safe_secret_ref
examples___archived_persistent-volume-provisioning_rbd_ceph-secret-admin.yaml,hardcoded_secret,long_base64_like_value,
charts__bitnami_envoy-gateway_crds_gatewayapi-crds.yaml,secure,,
kube-linter__tests_testdata_mykustomize_base_deployment.yaml,secure,,
argo-cd__resource_customizations_policy.open-cluster-management.io_CertificatePolicy_testdata_progressing_no_status.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_features_pod-logs-via-opentelemetry_output.yaml,hardcoded_secret,hardcoded_password,
charts__bitnami_rabbitmq-cluster-operator_crds_rabbitmq-cluster_rabbitmq.com_rabbitmqclusters.yaml,privilege_exposure,host_path;long_base64_like_value,safe_secret_name;safe_secret_key_ref;safe_value_from;safe_env_from;safe_secret_ref;safe_image_pull_secrets
kube-linter__tests_checks_privileged-container.yml,privilege_exposure,privileged_true,
argo-cd__resource_customizations_capabilities.3scale.net_Backend_testdata_degraded-invalid.yaml,secure,,
cloud-on-k8s__config_recipes_elastic-agent_kubernetes-integration.yaml,secure,,safe_value_from
prometheus-operator__test_framework_resources_alertmanager-config-validating-webhook.yaml,secure,,
argo-cd__test_e2e_testdata_guestbook-with-plain-namespace-manifest_guestbook-ui-deployment.yaml,secure,,
argo-cd__resource_customizations_capabilities.3scale.net_CustomPolicyDefinition_testdata_healthy.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_resource-requests-and-limits_output.yaml,privilege_exposure,privileged_true;host_network_true;host_pid_true;host_path;google_api_key_pattern;long_base64_like_value,safe_value_from
argo-cd__resource_customizations_gateway.solo.io_RouteOption_testdata_gloo-no-status.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_platform_eks-with-windows_eks-cluster-config.yaml,secure,,
argo-cd__resource_customizations_gateway.networking.k8s.io_Gateway_testdata_progressing.yaml,secure,,
argo-cd__resource_customizations_capabilities.3scale.net_ActiveDoc_testdata_healthy.yaml,secure,,
argo-cd__applicationset_examples_matrix_matrix-and-union-in-matrix-fasttemplate.yaml,secure,,
examples___archived_volumes_flexvolume_nginx-lvm.yaml,secure,,
cloud-on-k8s__pkg_controller_autoscaling_elasticsearch_testdata_custom_resource_cpu-scaled-horizontally_autoscaler.yml,secure,,
argo-cd__resource_customizations_astra.netapp.io_Schedule_testdata_healthy_nostatus.yaml,secure,,
examples___archived_volumes_nfs_nfs-busybox-deployment.yaml,secure,,
charts__bitnami_cloudnative-pg_crds_barmancloud.cnpg.io_objectstores.yaml,secure,,safe_secret_key_ref;safe_value_from
argo-cd__resource_customizations_grafana.integreatly.org_GrafanaDatasource_testdata_degraded.yaml,hardcoded_secret,long_base64_like_value,safe_secret_key_ref;safe_value_from
argo-cd__manifests_base_application-controller_argocd-application-controller-statefulset.yaml,hardcoded_secret,long_base64_like_value,safe_secret_name;safe_secret_key_ref;safe_value_from
argo-cd__resource_customizations_apps_Deployment_actions_testdata_deployment-restarted.yaml,hardcoded_secret,long_base64_like_value,
argo-cd__test_e2e_testdata_crashing-guestbook_guestbook-deployment.yaml,secure,,
cloud-on-k8s__pkg_controller_autoscaling_elasticsearch_testdata_custom_resource_frozen-tier_autoscaler.yml,secure,,
argo-cd__test_manifests_cmp_plugin.yaml,secure,,
cloud-on-k8s__config_samples_logstash_logstash_svc.yaml,secure,,
examples___archived_volumes_glusterfs_glusterfs-service.yaml,secure,,
examples___archived_elasticsearch_production_cluster_es-discovery-svc.yaml,secure,,
argo-cd__manifests_ha_install-with-hydrator.yaml,hardcoded_secret,long_base64_like_value,safe_secret_name;safe_secret_key_ref;safe_value_from
argo-cd__applicationset_examples_git-generator-directory_excludes_git-directories-exclude-example-fasttemplate.yaml,secure,,
argo-cd__resource_customizations_mariadb.mmontes.io_MariaDB_testdata_statefulset_not_ready.yaml,secure,,
cloud-on-k8s__config_recipes_elastic-agent_system-integration.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_platform_grafana-cloud_app-observability_test-plan.yaml,secure,,safe_value_from;safe_env_from;safe_secret_ref
argo-cd__resource_customizations_source.toolkit.fluxcd.io_HelmChart_actions_testdata_initial_helmchart.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_platform_grafana-cloud_k8s-monitoring_dependencies_hello-kubernetes-test-0.yaml,secure,,safe_value_from
argo-cd__resource_customizations_apps.3scale.net_APIManager_testdata_progressing-1.yaml,secure,,
cloud-on-k8s__hack_deployer_config_local-disks-kind_kind-pv-size-patch.yaml,secure,,
argo-cd__resource_customizations_keda.sh_ScaledObject_actions_testdata_scaledobject.yaml,secure,,
argo-cd__resource_customizations_numaflow.numaproj.io_Pipeline_actions_testdata_pipeline-paused.yaml,secure,,
argo-cd__resource_customizations_astra.netapp.io_Backup_testdata_progressing_status.yaml,hardcoded_secret,long_base64_like_value,
argo-cd__resource_customizations_psmdb.percona.com_PerconaServerMongoDB_testdata_initializing.yaml,secure,,
argo-cd__test_e2e_testdata_guestbook_kustomization.yaml,secure,,
argo-cd__applicationset_examples_design-doc_template-override-fasttemplate.yaml,secure,,
helm-charts__charts_kube-prometheus-stack_charts_crds_crds_crd-probes.yaml,hardcoded_secret,hardcoded_password;hardcoded_client_secret,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_features_cluster-events_default_output.yaml,hardcoded_secret,hardcoded_password;long_base64_like_value,
charts__bitnami_argo-cd_crds_project.yaml,hardcoded_secret,long_base64_like_value,
argo-cd__manifests_core-install-with-hydrator.yaml,hardcoded_secret,long_base64_like_value,safe_secret_name;safe_secret_key_ref;safe_value_from
argo-cd__manifests_cluster-rbac_server_kustomization.yaml,secure,,
argo-cd__resource_customizations_db.atlasgo.io_AtlasSchema_testdata_progressing.yaml,hardcoded_secret,long_base64_like_value,safe_secret_key_ref
kubernetes-native-testbed__manifests_ns_cart-ns.yaml,secure,,
argo-cd__manifests_crds_application-crd.yaml,secure,,
argo-cd__resource_customizations_numaplane.numaproj.io_PipelineRollout_testdata_PipelineRollout_progressive-failed.yaml,secure,,
argo-cd__resource_customizations_argoproj.io_AnalysisRun_actions_testdata_runningAnalysisRun.yaml,secure,,
argo-cd__resource_customizations_networking.gke.io_ManagedCertificate_testdata_provisioning.yaml,secure,,
argo-cd__resource_customizations_policy.open-cluster-management.io_Policy_testdata_healthy_replicated.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_platform_aks_.rendered_output.yaml,privilege_exposure,host_network_true;host_pid_true;host_path;long_base64_like_value,
argo-cd__resource_customizations_lifecycle.keptn.sh_KeptnWorkloadVersion_testdata_degraded.yaml,secure,,
argo-cd__resource_customizations_gateway.solo.io_RouteTable_testdata_non-namespaced-gloo-warning.yaml,secure,,
kubernetes-native-testbed__manifests_infra_loki_loki.yaml,privilege_exposure,host_path;long_base64_like_value,safe_secret_name;safe_value_from
argo-cd__util_kustomize_testdata_kustomization_yaml_patches_empty_deployment.yaml,secure,,
argo-cd__resource_customizations_promoter.argoproj.io_ChangeTransferPolicy_testdata_reconcile-error.yaml,secure,,
argo-cd__resource_customizations_metrics.keptn.sh_KeptnMetric_testdata_progressing.yaml,secure,,
cloud-on-k8s__hack_upgrade-test-harness_testdata_v230_crds.yaml,hardcoded_secret,long_base64_like_value,safe_secret_name
k8s-monitoring-helm__charts_k8s-monitoring-v1_docs_examples_external-secrets_alloy-secret.yaml,secure,,
argo-cd__resource_customizations_source.toolkit.fluxcd.io_HelmChart_testdata_healthy.yaml,secure,,
kube-linter__tests_checks_no-rolling-update-strategy.yml,secure,,
argo-cd__gitops-engine_pkg_diff_testdata_smd-deploy2-live.yaml,secure,,
argo-cd__util_kustomize_testdata_kustomization_yaml_components_monorepo_kustomize_apps_hello-world_base_serviceaccount.yaml,secure,,
charts__bitnami_grafana-operator_crds_grafana.integreatly.org_grafanafolders.yaml,secure,,
argo-cd__manifests_base_repo-server_kustomization.yaml,secure,,
kube-linter__pkg_templates_sortedkeys_testdata_non-recursive.yaml,secure,,
argo-cd__resource_customizations_cloudfront.aws.crossplane.io_Distribution_testdata_degraded_reconcileError.yaml,secure,,
examples___archived_nodesjs-mongodb_web-controller-demo.yaml,secure,,
argo-cd__resource_customizations_k8s.mariadb.com_MariaDB_testdata_restore_not_complete.yaml,secure,,
argo-cd__test_e2e_testdata_hook-and-deployment_deployment.yaml,secure,,
kubernetes-native-testbed__manifests_infra_nats_nats-operator.yaml,secure,,safe_value_from
examples__AI_vllm-deployment_hpa_vllm-service-monitor.yaml,secure,,
cloud-on-k8s__hack_upgrade-test-harness_testdata_v2130_crds.yaml,hardcoded_secret,long_base64_like_value,safe_secret_name
argo-cd__gitops-engine_pkg_health_testdata_deployment-progressing.yaml,hardcoded_secret,long_base64_like_value,
argo-cd__resource_customizations_monitoring.coreos.com_Prometheus_testdata_healthy.yaml,secure,,
argo-cd__resource_customizations_ceph.rook.io_CephCluster_testdata_state_creating.yaml,secure,,
argo-cd__resource_customizations_gateway.solo.io_Gateway_testdata_non-namespaced-gloo-rejected.yaml,secure,,
argo-cd__resource_customizations_keda.sh_ScaledJob_actions_testdata_scaledjob-resume.yaml,secure,,
examples___archived_volumes_storageos_storageos-sc-pvcpod.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_features_integrations_loki_output.yaml,hardcoded_secret,long_base64_like_value,
examples___archived_volumes_vsphere_deployment.yaml,secure,,
charts__bitnami_kong_crds_custom-resource-definitions.yaml,secure,,safe_secret_name;safe_secret_key_ref;safe_value_from
k8s-monitoring-helm__charts_k8s-monitoring_tests_integration_pod-logs_secret-filter_kind-cluster-config.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_platform_eks-addon_deployments_query-test.yaml,hardcoded_secret,long_base64_like_value,safe_env_from;safe_secret_ref
cloud-on-k8s__config_recipes_maps_01-ems.yaml,secure,,
argo-cd__resource_customizations_promoter.argoproj.io_ChangeTransferPolicy_testdata_no-ready-condition.yaml,secure,,
argo-cd__gitops-engine_pkg_health_testdata_pvc-bound.yaml,hardcoded_secret,long_base64_like_value,
argo-cd__resource_customizations_numaflow.numaproj.io_InterStepBufferService_testdata_degraded-progressive.yaml,hardcoded_secret,hardcoded_password,
argo-cd__resource_customizations_kafka.strimzi.io_KafkaBridge_testdata_degraded.yaml,hardcoded_secret,hardcoded_password,safe_secret_name
kubernetes-native-testbed__manifests_user_app.yaml,secure,,safe_secret_key_ref;safe_value_from
charts__bitnami_kube-arangodb_crds_scheduler-cronjob.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_platform_gke_.rendered_output.yaml,privilege_exposure,host_network_true;host_pid_true;host_path;google_api_key_pattern;long_base64_like_value,safe_secret_key_ref;safe_value_from
cloud-on-k8s__config_recipes_gclb_99-kibana-path.yaml,secure,,safe_secret_name
argo-cd__resource_customizations_flagger.app_Canary_testdata_finalising.yaml,secure,,
kube-linter__tests_checks_dnsconfig-options-ndots.yml,secure,,
cloud-on-k8s__hack_upgrade-test-harness_testdata_upcoming_stack.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_features_pod-logs-via-opentelemetry_test_test-plan.yaml,secure,,
charts__bitnami_kube-prometheus_charts_kube-prometheus-crds_crds_crd-thanosrulers.yaml,privilege_exposure,host_path;hardcoded_password;hardcoded_access_key;hardcoded_client_secret;hardcoded_secret_key;long_base64_like_value,safe_secret_name;safe_secret_key_ref;safe_value_from;safe_env_from;safe_secret_ref;safe_image_pull_secrets
kube-linter__tests_checks_non-isolated-pod.yml,secure,,
examples__databases_cassandra_cassandra-service.yaml,secure,,
argo-cd__util_argo_testdata_desired_validating_webhook.yaml,secure,,
